$combined_keywords$Category_bin
163$"adaptation of generic learning tool; knowledge management; modes of knowledge; nursing; nursing practices; potential; shared meaning; trajectories of participation;adapting a learning tool for specialized nursing;purpose: nursing has for a long time used a variety of technological tools to improve and support patient care. tool use changes knowledge processes, offering opportunities to explore processes of specialization in this field. the purpose of this paper is to report from a collaborative process to achieve shared meaning potential while adapting a generic learning tool to meet learning needs of specialized nursing. a complex chain of actions, interactions and negotiations during the adaptation process is disentangled. the paper draws from the theoretical construct known as trajectories of participation. design/methodology/approach: the method employed in data analysis is interaction analysis, allowing detailed studies of the actions represented in the participants' intersecting trajectories. findings: the analysis shows how project members seek to combine different modes of knowledge when they sort out and establish shared meaning potential. typically the negotiations start with a concrete problem arising from the current practice's use of tools. the participants clarify and specify a shared object of activity by mobilizing three different modes of knowledge (practical, diagnostic and technical). during this process, the participants' trajectories converge toward consensus. this consensus is a process of constructing and reconstructing tools and practices and an interdependency of tools and practices that is ""materialized"" in the adapted learning tool. originality/value: this analysis shows the importance of taking account of processes in the concrete settings when developing new tools for change in specialist nursing. different trajectories of participation that intersected in the planning activities give insight into how knowledge is mobilized when tools and practices co-evolve on an interactional level. © emerald group publishing limited."$0
164$adaptation planning; component-based architectures; self-adaptation; service-oriented architectures; adaptive algorithms; data structures; dynamic programming; software architecture; ubiquitous computing; middleware;composing components and services using a planning-based adaptation middleware;self-adaptive component-based architectures provide methods and mechanisms to support the dynamic adaptation of their structure under evolving execution context. dynamic adaptation is particularly relevant in the domain of ubiquitous computing, which is subject to numerous unexpected changes of the execution context. in this paper, we focus on changes in the service provider landscape: business services may dynamically come and go, and their quality of service may vary. we introduce an extension of the madam component-based planning framework that optimizes the overall utility of applications when such changes occur. madam planning is based on dynamic configuration of component frameworks. the extended planning framework supports seamless configuration of component frameworks based on both local and remote components and services. in particular, components and services can be plugged in interchangeably to provide functionalities defined by the component framework. the extended planning framework is illustrated and validated on a use case scenario. © 2008 springer-verlag berlin heidelberg.$0
165$adaptive security; ehealth; event correlation; event-driven architecture; internet of things; risk management;edas: an evaluation prototype for autonomic event-driven adaptive security in the internet of things;in internet of things (iot), the main driving technologies are considered to be tiny sensory objects. these objects cannot host traditional preventive and detective technologies to provide protection against the increasing threat sophistication. furthermore, these solutions are limited to analyzing particular contextual information, for instance network information or files, and do not provide holistic context for risk analysis and response. analyzing a part of a situation may lead to false alarms and later to unnecessary and incorrect configurations. to overcome these concerns, we proposed an event-driven adaptive security (edas) model for iot. edas aims to observe security events (changes) generated by various things in the monitored iot environment, investigates any intentional or unintentional risks associated with the events and adapts to it autonomously. it correlates different events in time and space to reduce any false alarms and provides a mechanism to predict attacks before they are realized. risks are responded to autonomically by utilizing a runtime adaptation ontology. the mitigation action is chosen after assessing essential information, such as the risk faced, user preferences, device capabilities and service requirements. thus, it selects an optimal mitigation action in a particular adverse situation. the objective of this paper is to investigate edas feasibility and its aptitude as a real-world prototype in a remote patient monitoring context. it details how edas can be a practical choice for iot-ehealth in terms of the security, design and implementation features it offers as compared to traditional security controls. we have explained the prototype's major components and have highlighted the key technical challenges. © 2015 by the authors.$0
166$adaptive security; e-health; game theory; iot; security metrics;metrics-driven security objective decomposition for an e-health application with adaptive security management;emerging e-health applications utilizing iot (internet of things) solutions should be sufficiently secure and robust. adaptive security management techniques enable maintenance of sufficient security level during changing context, threats and usage scenarios. systematic adaptive security management is based on security metrics. we analyze security objective decomposition strategies for an iot e-health application. these strategies enable development of meaningful security metrics. adaptive security solutions need security metrics to be able to adapt the relevant security parameters according to contextual and threat changes, which are typical for patient-centric iot solutions used in various environments. in order to achieve this we have developed a context-aware markov game theoretic model for security metrics risk impact assessment to measurably evaluate and validate the run-time adaptivity of iot security solutions. © 2013 acm.$0
167$adaptive security; ehealth; iot; testbed; wireless body area sensor networks;a testbed for adaptive security for iot in ehealth;wireless body area sensor networks (wbasns) are networks of low-power sensing objects that collect and send vital signs of a patient using low-rate communication media. they have been originally created to improve the efficiency of e-health applications and they constitute now an important part of the internet of things (iot) by bringing humans into the iots. the asset (adaptive security for smart internet of things in ehealth) project [1] develops risk-based adaptive security methods and mechanisms for iot in ehealth. the project requires a real-life testbed to evaluate accurately the adaptive security solutions in realistic simulation and use case scenarios. this paper describes the setup of a testbed for adaptive security for the iot using current commercial off-the-shelf products and open source software. the particular features of the proposed testbed with regard to those published in the literature are underlined. the paper also discusses the validation of the setup through the study of the impact of antenna orientation on energy consumption. to this purpose, an estimation strategy of the energy consumption using the holt-winters prediction method has been developed. this will particularly be useful when studying the feasibility of the adaptive lightweight security solutions that will be part of the asset project. © 2013 acm.$0
168$adhd; ehealth; slr; therapy; health information-technology; benefits; disorder; costs;adhd in ehealth - a systematic literature review;the healthcare industry is facing financial, and population pressures relating to cost, access quality, accountability, and the integration of information and communication technology (ict). ehealth has been referred to as possibly the most important revolution in healthcare since the arrival of modern medicine. the purpose of this study is to outline recent development in applying ehealth in the healthcare industry, focusing on the therapy of patients with attention deficit hyperactivity disorder (adhd) in recent years. a systematic review was conducted to explore reported therapy practices for patients with adhd using ehealth technologies. results indicates efficacy of telemedicine therapy suggesting an improvement in quality of therapy. further the emergence of mobile health (mhealth) solutions seems to be a central topic, thus there is need for empirical studies to support such utilities. electronic health records (ehrs) are facing legislative constrains before fully exploiting its full potential that gives promise for both increased efficiency and cost savings. (c) 2016 the authors. published by elsevier b.v.$0
169$adolescent health; disease prevention; health communication; health education; health promotion; public health; sexual health; sexually transmitted diseases; sexually transmitted infections;impact of facebook ads for sexual health promotion via an educational web app: a case study;background: the authors present a case study of a public health campaign, including social media, and aiming at maximizing the use of web app on sexual health. objective: to analyze the impact of a facebook fan page, facebook advertisements, and posters to maximize the number of visits to the educational web app. methods: the campaign is assessed for 1 year, using data tracked through facebook statistics and google analytics. results: the site had 3670 visits (10.1 visitors/day, 95%ci 8.7-11.4). during the one-month facebook ads campaign, the site received 1263 visits (42.1 visitors/day, 95%ci 37.3-46.9), multiplying by over four the average number of visitors/day. 34.4% of all the participants were recruited during the one-month facebook ads campaign. conclusions: facebook advertisements seem to be a good tool to promote an educational web app on sexual health targeting youth, and to reach a huge number of users rapidly and at a low cost. copyright © 2017, igi global.$0
170$adolescent; adult; aged; aged, 80 and over; anxiety; case-control studies; communication; *emotions; female; humans; inpatients/statistics & numerical data; male; middle aged; neoplasms/*nursing/psychology; norway; nurse-patient relations; outpatients/statistics & numerical data; *referral and consultation/statistics & numerical data; sampling studies; symptom assessment/*nursing; tape recording/statistics & numerical data; *therapy, computer-assisted/statistics & numerical data; user-computer interface;talking about feelings and worries in cancer consultations: the effects of an interactive tailored symptom assessment on source, explicitness, and timing of emotional cues and concerns;background: patients are experts of their own symptoms and worries, but tend not to express their concerns spontaneously in the consultation. even when emotions are brought up, they are discussed briefly. objective: the objective of this study was to examine the impact of an interactive tailored patient assessment (choice) on communication of emotional cues and concerns expressed by cancer patients in terms of source of initiation of cues/concern, explicitness, timing during the consultation, and consultation type (inpatient/outpatient). methods: we audiotaped and coded consultations between cancer patients and nurses or physicians in 1 control group (n = 99) with standard consultations and 1 intervention group (n = 97) where patients used choice prior to the consultation. direct and interaction effects were tested using multilevel analyses. results: in the choice intervention group, there were significantly more frequent and more explicit expressions of cues and concerns; more clinician-initiated concerns occurred during the first 10 minutes; and it was more likely for any cue or concern to be succeeded by a subsequent one. in consultations with many cues/concerns, these were on average more emotionally descriptive or explicit and occurred somewhat earlier in the consultation in the choice group. furthermore, more cues/concerns were expressed in inpatient consultations with nurses than in outpatient consultations with physicians. conclusion: cancer patients' expressions of cues and concerns do not occur at random. more cues/concerns are expressed early in the consultation, in consultations with nurses, and in the choice intervention group. implication for practice: choice may be a useful clinical tool. use of choice might aid cancer patients in handling their emotions.$0
171$adolescent; adult; aged; blood glucose self-monitoring/*instrumentation; cell phones/*instrumentation; diabetes mellitus, type 1/*diet therapy; diabetes mellitus, type 2/*diet therapy; diet, diabetic; health knowledge, attitudes, practice; humans; internet/*instrumentation; middle aged; remote consultation/*instrumentation; self care; young adult;designing mobile dietary management support technologies for people with diabetes;we performed two cycles of laboratory-based usability testing of three food registration prototypes for people with diabetes. the design concepts were a commercial web application, various smartphones and a mobile phone photo blogging approach. six adults with type 1 diabetes and three adults with type 2 diabetes participated in the usability tests. the results provided five distinct implications for devices for the future dietary management support of people with diabetes. study participants valued many of the features offered by the three systems that were tested, although the usability tests also revealed several opportunities to enhance their design. our findings suggest that further development is justified of mobile dietary and nutritional support for individuals living with diabetes. applications that support healthy eating habits should be integrated with applications for managing blood glucose data and physical activity data, and potentially medication data as well.$1
172$adolescent; adult; aged; exercise therapy/*methods; feasibility studies; female; home care services/*organization & administration; hospital costs; humans; male; middle aged; norway; patient education as topic/methods; patient satisfaction; pilot projects; pulmonary disease, chronic obstructive/*rehabilitation; self care/methods; telemedicine/*methods; videoconferencing/standards; young adult;long-term telerehabilitation of copd patients in their homes: interim results from a pilot study in northern norway;we investigated the feasibility of a long-term telerehabilitation service for copd patients comprising exercise training at home, telemonitoring and education/self-management. the service was offered as a 2-year follow-up programme by a physiotherapist. equipment included a treadmill, a pulse oximeter and a tablet computer. participants had weekly videoconference sessions with the physiotherapist. a website was used to access a training programme and to fill in a daily diary and a training diary. ten patients with moderate or severe copd participated in a pilot study in northern norway. after more than one year, all participants were still participating actively and no drop-outs had occurred. on average, there were 2.0 training sessions/week, 3.3 measurements/week registered via the website and 0.5 videoconference contacts/week. there was a reduction of 27% in the copd-related hospital costs. feedback from the participants was very positive. long-term telerehabilitation of copd patients at home is feasible and interim results suggest that it reduces healthcare utilization.$1
173$adolescent; adult; article; blood glucose monitoring; controlled study; diabetes mellitus; diet; female; follow up; health behavior; human; internet; major clinical study; male; post hoc analysis; priority journal; self care; self concept; aged; blood glucose; exercise; humans; middle aged; patient education as topic; self efficacy;an internet-based diabetes self-care intervention tailored to self-efficacy;the main objective of this study was to assess whether self-efficacy (se) could function as a moderator of the effect of a tailored internet-based intervention aimed at increasing self-reported diabetes self-care behaviours. in a two-group, 1-month interval pre-test-post-test randomized controlled trial, participants (n = 64) were assigned at random to either a group that received an intervention on the area of self-care (blood glucose monitoring, diet management or physical activity) for which the reported se was lowest (lse group) or to a group that received an intervention on area of self-care for which the reported se was highest (hse group). improvements in self-care were observed for both groups, but the hse group improved more. self-care also increased for those areas that the intervention did not target. furthermore, se levels decreased from baseline to follow-up. this study suggests that se can function as a moderator in a behavioural intervention for diabetes self-care, and hence that initial level of se provides relevant information for tailoring such interventions. © 2007 the author(s).$1
174$adolescent; adult; article; child; clinical assessment tool; clinical decision making; consultation; conversation; decision identification and classification taxonomy for use in medicine; doctor patient relation; female; health insurance; human; infant; major clinical study; male; medical care; medical decision making; newborn; patient participation; physician; qualitative research; reliability; taxonomy; ambulatory care; classification; decision making; hospital emergency service; hospitalization; middle aged; preschool child; videorecording; young adult; child, preschool; clinical decision-making; emergency service, hospital; humans; infant, newborn; physician-patient relations; video recording;what is a medical decision? a taxonomy based on physician statements in hospital encounters: a qualitative study;objective: the medical literature lacks a comprehensive taxonomy of decisions made by physicians in medical encounters. such a taxonomy might be useful in understanding the physician-centred, patient-centred and shared decision-making in clinical settings. we aimed to identify and classify all decisions emerging in conversations between patients and physicians. design: qualitative study of video recorded patient-physician encounters. participants and setting: 380 patients in consultations with 59 physicians from 17 clinical specialties and three different settings (emergency room, ward round, outpatient clinic) in a norwegian teaching hospital. a randomised sample of 30 encounters from internal medicine was used to identify and classify decisions, a maximum variation sample of 20 encounters was used for reliability assessments, and the remaining encounters were analysed to test for applicability across specialties. results: on the basis of physician statements in our material, we developed a taxonomy of clinical decisions -the decision identification and classification taxonomy for use in medicine (dictum). we categorised decisions into 10 mutually exclusive categories: gathering additional information, evaluating test results, defining problem, drug-related, therapeutic procedure-related, legal and insurance-related, contactrelated, advice and precaution, treatment goal, and deferment. four-coder inter-rater reliability using krippendorff's α was 0.79. conclusions: dictum represents a precise, detailed and comprehensive taxonomy of medical decisions communicated within patient-physician encounters. compared to previous normative frameworks, the taxonomy is descriptive, substantially broader and offers new categories to the variety of clinical decisions. the taxonomy could prove helpful in studies on the quality of medical work, use of time and resources, and understanding of why, when and how patients are or are not involved in decisions.$1
175$adolescent; adult; cardiopulmonary resuscitation/*instrumentation/*methods; cell phones/*instrumentation; *emergency medical service communication systems; heart arrest/*therapy; humans; pulmonary ventilation; video recording/*instrumentation/*methods;can video mobile phones improve cpr quality when used for dispatcher assistance during simulated cardiac arrest?;background: because mobile telephones may support video calls, emergency medical dispatchers may now connect visually with bystanders during pre-hospital cardio-pulmonary resuscitation (cpr). we studied the quality of simulated dispatcher-assisted cpr when guidance was delivered to rescuers by video calls or audio calls from mobile phones. methods: one hundred and eighty high school students were randomly assigned in groups of three to communicate via video calls or audio calls with experienced nurse dispatchers at a hospital emergency medical dispatch center. cpr was performed on a recording resuscitation manikin during simulated cardiac arrest. quality of cpr and time factors were compared depending on the type of communication used. results: the median cpr time without chest compression ('hands-off time') was shorter in the video-call group vs. the audio-call group (303 vs. 331 s; p=0.048), but the median time to first compression was not shorter (104 vs. 102 s; p=0.29). the median time to first ventilation was insignificantly shorter in the video-call group (176 vs. 205 s; p=0.16). this group also had a slightly higher proportion of ventiliations without error (0.11 vs. 0.06; p=0.30). conclusion: video communication is unlikely to improve telephone cpr (t-cpr) significantly without proper training of dispatchers and when using dispatch protocols written for audio-only calls. improved dispatch procedures and training for handling video calls require further investigation.$1
176$adolescent; adult; child; child, preschool; female; humans; male; mental health services/standards/*statistics & numerical data; norway; patient satisfaction/statistics & numerical data; surveys and questionnaires; videoconferencing/economics/*utilization;use of videoconferencing in norwegian psychiatry;we conducted a national survey about access to and use of videoconferencing in norwegian mental health care. a questionnaire was mailed to 300 institutions, with 113 returned (38%). attitudes towards videoconferencing were positive. 58 of the respondents had access to videoconferencing equipment. 51 institutions had used videoconferencing in the previous year. geographical and climatic factors and travel-related strain were predictors of access. videoconferencing was mostly used for meetings, supervision and lectures, and to a lesser degree was used clinically, with the patient present. 90% of the institutions had experienced videoconferencing as useful. lack of videoconferencing equipment in collaborating institutions was an inhibiting factor for use. there is a gap between the potential of videoconferencing and its actual utilization in norway's mental health sector.$1
177$adolescent; aged; aged, 80 and over; child; *community participation; humans; internet; *monitoring, ambulatory; patient satisfaction; *self care; technology assessment, biomedical; *telemedicine; *user-computer interface;user-centered methods for designing patient-centric self-help tools;involving end users in the design process can be challenging and in many cases fails to become a priority for system developers. this is also the case with numerous applications in the health care domain. this article focuses on the design process for applications intended for direct use by the patients themselves, often referred to as self-help tools. a framework for the user involvement in the design process is presented. this framework is inspired both from existing methods and standards within the field of human computer interaction, as well as documented experiences from relevant e-health projects. an analysis of three case studies highlights the importance of patient involvement in the design process and informs guidelines for patient-centric system design.$0
178$adolescent; blood glucose/analysis; *cell phones; diabetes mellitus, type 1/*diet therapy/psychology; documentation; eating; female; hemoglobin a, glycosylated/analysis; humans; insulin infusion systems; male; *mobile applications; self care/*instrumentation/psychology; self efficacy; young adult; m-health; diabetes; empowerment; self-care;integrating visual dietary documentation in mobile-phone-based self-management application for adolescents with type 1 diabetes;the goal of modern diabetes treatment is to a large extent focused on self-management to achieve and maintain a healthy, low hba1c. despite all new technical diabetes tools and support, including advanced blood glucose meters and insulin delivery systems, diabetes patients still struggle to achieve international treatment goals, that is, hba1c < 7.5 in children and adolescents. in this study we developed and tested a mobile-phone-based tool to capture and visualize adolescents' food intake. our aim was to affect understanding of carbohydrate counting and also to facilitate doctor-adolescent communication with regard to daily treatment. furthermore, we wanted to evaluate the effect of the designed tool with regard to empowerment, self-efficacy, and self-treatment. the study concludes that implementing a visualization tool is an important contribution for young people to understand the basics of diabetes and to empower young people to define their treatment challenges. by capturing a picture of their own food, the person's own feeling of being in charge can be affected and better self-treatment achieved.$1
179$adolescent; breast neoplasms/psychology/rehabilitation; child of impaired parents/psychology; consumer health information; female; health services research/*methods; humans; internet; professional role; program development/methods; research personnel; self-help groups/*organization & administration; telemedicine/methods;the dual role of the action researcher;this article aims to provide more insight into advantages and challenges of conducting action research with the intention to improve health care. action research is distinctive in the sense that the researcher has a dual role as both researcher and implementer of the program studied. the article is based on two norwegian action-oriented studies that aimed to explore the potential role of online self-help groups for breast cancer patients and adolescents with mentally ill parents respectively. we argue that action research can contribute both to the generation of knowledge, as well as a greater sense of ownership to the program among those who are intended to use it. nonetheless, a potential conflict between the researcher's pursuit of data, and ethical considerations became apparent in the contexts studied here. bearing these challenges in mind, we still conclude that action research offers an important contribution for the further development of health care services.$0
180$adolescent; cell phones; child; child, preschool; computer-assisted instruction/*methods; female; humans; internet; male; *medical records; *mobile applications; neoplasms/*diagnosis/*therapy; patient education as topic/*methods; software design; telemedicine/*methods; user-computer interface;cherry: mobile application for children with cancer;the cherry project seeks to address the information needs of young cancer patients, their parents, and health care providers. it aims at helping the patients to understand various aspects of their disease and treatment, and allow them to assess and record their disease related quality of life. it uses elements of social media to offer a meeting point with the physician and peers. information is presented in a way that is both understandable and appealing to young children in school age and adolescents. preschool children will be studied as a separate user group to address their needs and possibilities to meet them. the cherry system wants to utilize internet and mobile technologies to benefit patient outcome.$1
181$"adolescent; chlamydia; health education; health information technologies; internet; sexually transmitted diseases; social network, social media; young adult; adult; article; computer interface; female; health promotion; human; male; methodology; mobile phone; norway; questionnaire; safe sex; sexually transmitted disease; social network; cellular phone; humans; questionnaires; social networking; user-computer interface;avatars using computer/smartphone mediated communication and social networking in prevention of sexually transmitted diseases among north-norwegian youngsters;background: sexually transmitted diseases (stds), especially the chlamydia trachomatis bacterial infection, a common cause of infertility, are highly prevalent in developed countries, and a worrying problem in north norway, where the incidence of chlamydia twice the norwegian average. seventy percent of reported chlamydia cases are found in people below 25 years of age, and although its spread could be controlled with proper prevention, young people are more aware of the risks of unwanted pregnancy than their risk of acquiring a std. information and communication technologies, including, the internet, social media and/or smartphones, should be valued for sexual health promotion for their potential to engage young audiences. and in these media, avatars guarantee anonymity to users when handling sensitive information. the main objective of this project is to achieve that north norwegian youngsters become more aware of stds through the use of popular technologies among young people. methods. a virtual clinic for sexually transmitted diseases (vcstd) will be developed. the vcstd will provide early guidance and reliable information sources concerning reproductive health, delivered in a novel and innovative way to the younger population. the vcstd consists of an ""avatar"" supported intervention in a serious gaming and e-learning environment, which will bypass direct physical access (in person) to reliable medical information, as well as allowing the youngsters to share that information in social media, and thus helping the vcstd to be disseminated to more people. data analyses will be conducted on publically available health data relevant to stds in troms and finnmark, like the absolute number of chlamydia tests, the amount of emergency contraception medication sold, and the number of abortions. also, usage data of the system and experiences of usefulness will be explored through participants' voluntary responses to a feedback form available in the vcstd. discussion. this study will examine the usefulness of an online public health intervention that aims to promote healthy sexual practices among north-norwegian youngsters. if shown to be effective, the intervention could prove to be an affordable and widely accessible intervention to decrease risky sexual practices in younger population. © 2012 gabarron et al.; licensee biomed central ltd."$1
182$adolescents; children; computer games; education; motivation; self-management; serious games; social media; type 1 diabetes mellitus; video games; computer game; self management; video game; glucose; health risks; interactive computer graphics; patient treatment; publishing;social media and games as self-management tools for children and adolescents with type 1 diabetes mellitus;introduction: insufficient treatment of type 1 diabetes mellitus (t1dm) can cause unpleasant and dangerous short-term complications, and disabling long-term complications. children and adolescents are often associated with poor blood glucose regulation and poor treatment adherence. motivating this group into achieving better illness knowledge, self-management and treatment adherence is difficult through ordinary diabetes education methods, which necessitates the need for alternate methods. methods: health educational video games and social media are investigated as potential platforms for providing diabetes education and motivation. publications were reviewed in order to estimate clinical and personal effects. results: 6 publications on children and adolescents' use of health educational video games displayed increased patients knowledge regarding their illness and treatment hereof, improved treatment adherence and positive clinical results. social media is identified in 2 publications as a promising platform for online communities, where patients and next of kin can seek advise, help others and share experiences. discussion: video games and social media constitute platforms that children and adolescents are familiar with, engage in and enjoy and are for diabetes educational purposes. tromsø telemedicine laboratory propose that by combining these platforms to make a social game experience that educates children and adolescents and motivates them conduct self-management and achieve better clinical results, thereby lowering their risk of diabetes complications.$1
183$adoption identity; adult adoptees; transnational adoption; adoption; adult; family study; identity; purposive sample; qualitative research;adoption and identity experiences among adult transnational adoptees: a qualitative study;to establish more comprehensive ways to assess transnational adoption adjustment, we need to better understand the adoptive identity experiences of transnational adoptees. we explored adoption identity by describing sociopsychosocial aspects and self experiences related to transnational adoption adjustment in a purposive sample of 16 adult korean-american adoptees. a qualitative, descriptive analysis resulted in three themes: biological parents, birthdays, and adoption history, with three subthemes of adoptive family, pride, and difficulties. the study is a first to qualitatively examine adoption identity and the themes may be used to develop a survey of adoption identity for adult transnational adoptees. © 2017 the author(s). published with license by taylor & francis © 2017, © farnad j. darnell, ayna b. johansen, shedeh tavakoli, and nikki brugnone.$0
184$adoption; barriers; implementation; telehealth; telemedicine;adoption of routine telemedicine in norwegian hospitals: progress over 5 years;background: although norway is well known for its early use of telemedicine to provide services for people in rural and remote areas in the arctic, little is known about the pace of telemedicine adoption in norway. the aim of the present study was to explore the statewide implementation of telemedicine in norwegian hospitals over time, and analyse its adoption and level of use. methods: data on outpatient visits and telemedicine consultations delivered by norwegian hospitals from 2009 to 2013 were collected from the national health registry. data were stratified by health region, hospital, year, and clinical specialty. results: all four health regions used telemedicine, i.e. there was 100 % adoption at the regional level. the use of routine telemedicine differed between health regions, and telemedicine appeared to be used mostly in the regions of lower centrality and population density, such as northern norway. only central norway seemed to be atypical. twenty-one out of 28 hospitals reported using telemedicine, i.e. there was 75 % adoption at the hospital level. neurosurgery and rehabilitation were the clinical specialties where telemedicine was used most frequently. despite the growing trend and the high adoption, the relative use of telemedicine compared to that of outpatient visits was low. conclusions: adoption of telemedicine is norway was high, with all the health regions and most of the hospitals reporting using telemedicine. the use of telemedicine appeared to increase over the 5-year study period. however, the proportion of telemedicine consultations relative to the number of outpatient visits was low. the use of telemedicine in norway was low in comparison with that reported in large-scale telemedicine networks in other countries. to facilitate future comparisons, data on adoption and utilisation over time should be reported routinely by statewide or network-based telemedicine services.$1
185$adoption; case study; case survey; configuration theory; critical realism; digital infrastructure; generative mechanism; information infrastructure; innovation; multimethod; scaling; case surveys; critical realisms; digital infrastructures; information infrastructures; multi methods; information systems; philosophical aspects; surveys; research;the generative mechanisms of digital infrastructure evolution;the current literature on digital infrastructure offers powerful lenses for conceptualizing the increasingly interconnected information system collectives found in contemporary organizations. however, little attention has been paid to the generative mechanisms of digital infrastructure, that is, the causal powers that explain how and why such infrastructure evolves over time. this is unfortunate, since more knowledge about what drives digital infrastructures would be highly valuable for managers and it professionals confronted by the complexity of managing them. to this end, this paper adopts a critical realist view for developing a configurational perspective of infrastructure evolution. our theorizing draws on a multimethod research design comprising an in-depth case study and a case survey. the in-depth case study, conducted at a scandinavian airline, distinguishes three key mechanisms of digital infrastructure evolution: adoption, innovation, and scaling. the case survey research of 41 cases of digital infrastructure then identifies and analyzes causal paths through which configurations of these mechanisms lead to successful evolution outcomes. the study reported in this paper contributes to the infrastructure literature in two ways. first, we identify three generative mechanisms of digital infrastructure and how they contingently lead to evolution outcomes. second, we use these mechanisms as a basis for developing a configurational perspective that advances current knowledge about why some digital infrastructures evolve successfully while others do not. in addition, the paper demonstrates and discusses the efficacy of critical realism as a philosophical tradition for developing substantive contributions in the field of information systems.$0
186$adoption; health care sciences & services;eleven years of experience with low-bandwidth telemedicine in a nurse-led rural clinic in scotland;a pilot trial of telemedicine in primary care began in the village of letham in 1998. the service provided conventional consultations with the district nurse, plus teleconsultations with a general practitioner (gp) at the health centre in forfar, a few km away. in the first year, the videoconferencing link was used by 14 patients, all aged over 65 years. the telemedicine service was judged to be successful and subsequently expanded to patients of any age. it was used for a wide range of health matters, including postnatal care, mental health problems, physical ailments, receiving test results and discussions with the doctor. during the 11-year study period, a total of 646 teleconsultations were conducted, a median rate of 65 per year. a qualitative evaluation of the service was conducted in 1999. although the gps involved expressed some reservations about the limited video quality, all three user groups were positive about the service. nonetheless, the telemedicine service was not adopted as a routine method of health-care delivery by the nhs. to enable any telemedicine application to move from the pilot trial stage to routine service requires several things to happen at an organisational and contractual level. ultimately an organizational decision about adoption is required, followed by appropriate mechanisms to enable diffusion.$1
187$"adult; *attitude of health personnel; denmark; female; heuristics; humans; male; meaningful use/*statistics & numerical data; pulmonary disease, chronic obstructive/*diagnosis/therapy; telemedicine/*statistics & numerical data; *user-computer interface; copd; handheld computer; home monitoring; public health informatics; telemedicine; usability; user computer interface;heuristic evaluation of a telehealth system from the danish telecare north trial;objective: the aim was to evaluate the usability of the design of the telehealth system, named telekit, developed for the danish telecare north trial, early into the design process in order to assess potential problems and limitations which could hinder its successful implementation. methods: five experts, including one who pilot-tested the telekit system, individually evaluated its usability and its compliance with jakob nielsen's ten usability heuristics for interaction design. usability problems were categorised according to rolf molich's severity classification. results: the five experts identified a total of 152 problems in the telekit system, each identifying 22-40 problems. 86 (57%) out of the 152 problems were identified only once. all heuristics were used, but the three most frequently used were: ""match between system and the real world"" (32%), ""consistency and standards"" (13%) and ""aesthetic and minimalist design"" (13%). the most widely used classifications were: ""improvement"" (40%) and ""minor problem"" (43%). conclusion: heuristic evaluation was an effective method for uncovering and identifying problems with the system. the consistent finding of particular usability problems confirms that the development of a telehealth system should pay particular attention to user aspects. the most serious problem was the inability of the system to inform users of how to perform measurements correctly and to ""speak the users' language"". the problems found in the heuristic evaluation have led to several significant changes in the telehealth system. we suggest that heuristic evaluation always be followed by user tests to evaluate the design of telehealth systems."$1
188$adult; *cell phones; data collection/instrumentation/*methods; ethiopia; female; health personnel; humans; maternal welfare; pregnancy; primary health care/*methods; rural health; telemedicine/instrumentation/*methods; community health workers; electronic forms; maternal health; mobile technologies; primary health care; mhealth;mobile health data collection at primary health care in ethiopia: a feasible challenge;objectives: feasibility assessment of mobile health (mhealth) data collection at primary health care in ethiopia. study design and setting: a total of 14 health workers were recruited from 12 primary health care facilities to use smartphones, installed with customized data collection application and electronic maternal health care forms for assessing pregnant women's health for 6 months. qualitative approaches comprising in-depth interviews and field notes were used to document the users' perception and experience in using the application and forms. results: all health workers had never had previous exposure to smartphones and electronic forms, but they got used to them easily. over 6 months, all health workers completed a total of 952 patient records using the forms on smartphones. health workers' acceptability and demand for the application and forms were high. in introducing the application, nontechnical challenges were more difficult to solve than technical challenges. conclusion: introducing an mhealth application at primary health care for routine collection of health data relevant to maternal health at a small scale was feasible. nonetheless, implementing a system of assigning unique and consistent patient identifier, standardization of health services, and improving mobile network coverage would be prerequisites for scaled-up usage of such an application.$1
